,,,,,Regular Season,,,,,,,,,Playoffs,,,,,,,,Postseason Result,,,,,,501 Stats - as recorded by DartConnect,,,,,,,,,,Cricket Stats,,,,,,,
Player,Season,Division,Place,,C-W,C-L,5-W,5-L,BP,MW,ML,MD,,C-W,C-L,5-W,5-L,MW,ML,MD,,Playoff Bracket,Playoff Finish,P/R,Result,Color,,180s,High Out,Doubles,Chances,Points,Darts,CO%,3DA,,,9M,Marks,Darts,T/B,Hits,MPR,T/B%,Hit%
Red Rascal,Summer 2020,B,2,,12,10,38,28,13,6,3,2,,,,,,,,,,,,P,Promoted to A,P,,0,109,38,226,31252,1927,16.81%,48.65,,,0,609,781,115,462,2.34,14.72%,59.15%
The Jig,Summer 2020,B,3,,15,7,35,31,9,6,2,3,,5,1,11,2,3,,,,A/B Playoffs,W,P,Promoted to A,PP,,0,110,41,221,34363,2021,18.55%,51.01,,,0,869,1095,166,667,2.38,15.16%,60.91%
Deadhead Darter,Summer 2020,B,4,,9,13,38,28,8,6,5,0,,1,3,4,6,1,1,,,A/B Playoffs,SF,,,PP,,3,100,42,194,35721,1982,21.65%,54.07,,,1,696,912,140,528,2.29,15.35%,57.89%
The Lush,Summer 2020,B,5,,13,9,32,34,6,5,4,2,,1,1,3,4,,1,,,A/B Playoffs,1R,,,PP,,1,78,30,207,31175,1925,14.49%,48.58,,,0,648,890,121,482,2.18,13.60%,54.16%
MADhouse,Summer 2020,B,6,,16,6,31,35,7,5,4,2,,,2,1,3,,1,,,A/B Playoffs,1R,,,PP,,1,97,32,230,32949,2021,13.91%,48.91,,,1,700,911,120,555,2.31,13.17%,60.92%
Radar,Summer 2020,B,7,,10,12,35,31,10,4,2,5,,,,,,,,,,,,,,,,0,144,35,205,31488,1802,17.07%,52.42,,,1,650,898,125,497,2.17,13.92%,55.35%
Repat,Summer 2020,B,8,,10,12,32,34,3,4,4,3,,,,,,,,,,,,,,,,1,126,32,183,30774,1793,17.49%,51.49,,,0,642,867,117,502,2.22,13.49%,57.90%
Cali Kid,Summer 2020,B,9,,9,13,32,34,1,2,5,4,,,,,,,,,,,,,,,,1,97,32,204,31270,1847,15.69%,50.79,,,1,519,796,81,436,1.96,10.18%,54.77%
Bud The Chud,Summer 2020,B,10,,9,13,32,34,5,3,5,3,,2,,4,2,1,,,,B/C Playoffs,W,,,RP,,1,80,36,229,34205,1974,15.72%,51.98,,,0,700,953,119,552,2.20,12.49%,57.92%
The Accountant,Summer 2020,B,11,,7,15,27,39,2,1,8,2,,,,,,,,,,,,R,Relegated to C,R,,3,100,26,157,27707,1655,16.56%,50.22,,,0,531,754,90,434,2.11,11.94%,57.56%
Unholy Cannoli,Summer 2020,B,12,,2,20,11,55,3,0,11,0,,,,,,,,,,,,R,Relegated to C,R,,0,108,11,154,28157,1907,7.14%,44.30,,,0,474,826,80,301,1.72,9.69%,36.44%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toaster,Summer 2020,C,1,,17,5,42,13,23,10,1,0,,,,,,,,,,,,P,Promoted to B,P,,1,89,42,171,26579,1445,24.56%,55.18,,,1,697,899,133,534,2.33,14.79%,59.40%
Bar-Boy,Summer 2020,C,2,,15,7,34,21,8,9,2,0,,,,,,,,,,,,P,Promoted to B,P,,0,78,16,153,24418,1722,10.46%,42.54,,,1,583,768,101,469,2.28,13.15%,61.07%
Alpine Stranger,Summer 2020,C,3,,17,5,31,24,3,9,2,0,,2,4,10,7,2,1,,,B/C Playoffs,F,,,PP,,0,100,41,269,34877,2108,15.24%,49.64,,,0,830,1177,173,649,2.12,14.70%,55.14%
Alky,Summer 2020,C,4,,15,7,30,25,9,6,5,0,,2,2,6,5,1,1,,,B/C Playoffs,SF,,,PP,,1,99,36,230,30482,1968,15.65%,46.47,,,1,775,1115,146,612,2.09,13.09%,54.89%
The Kylf,Summer 2020,C,5,,13,9,30,25,9,6,5,0,,1,1,1,4,,1,,,B/C Playoffs,R1,,,PP,,0,113,31,194,28153,1782,15.98%,47.40,,,0,808,1241,158,642,1.95,12.73%,51.73%
Triple T,Summer 2020,C,6,,15,7,27,28,4,7,4,0,,1,1,1,4,,1,,,B/C Playoffs,R1,,,PP,,0,95,28,214,28168,1874,13.08%,45.09,,,0,717,1027,139,561,2.09,13.53%,54.63%
Doughboy,Summer 2020,C,7,,8,14,27,28,5,5,6,0,,,,,,,,,,,,,,,,0,82,27,196,26038,1666,13.78%,46.89,,,1,546,824,106,421,1.99,12.86%,51.09%
Outlander,Summer 2020,C,8,,5,17,33,22,5,6,5,0,,,,,,,,,,,,,,,,0,70,33,173,25357,1684,19.08%,45.17,,,0,563,974,85,477,1.73,8.73%,48.97%
Uncle Corky,Summer 2020,C,9,,5,17,26,29,4,3,8,0,,,,,,,,,,,,,,,,1,60,26,188,24769,1814,13.83%,40.96,,,0,555,981,96,465,1.70,9.79%,47.40%
Slappy Pappy,Summer 2020,C,10,,9,13,18,37,3,0,11,0,,1,1,4,2,1,,,,C/D Playoffs,W,,,RP,,1,100,25,222,28866,2017,11.26%,42.93,,,0,613,1007,94,497,1.83,9.33%,49.35%
Mac Attack,Summer 2020,C,11,,8,14,19,36,9,3,8,0,,,,,,,,,,,,R,Relegated to D,R,,0,78,16,153,24418,1722,10.46%,42.54,,,0,561,927,96,449,1.82,10.36%,48.44%
The Cleaner,Summer 2020,C,12,,5,17,13,42,2,2,9,0,,,,,,,,,,,,R,Relegated to D,R,,1,66,13,173,24956,1721,7.51%,43.50,,,0,489,898,86,389,1.63,9.58%,43.32%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scooter McGooch,Summer 2020,D,1,,15,3,27,9,12,8,0,1,,,,,,,,,,,,P,Promoted to C,P,,0,54,27,188,17920,1308,14.36%,41.10,,,0,485,794,82,392,1.83,10.33%,49.37%
Beef Easy,Summer 2020,D,2,,11,7,23,13,7,6,1,2,,,,,,,,,,,,P,Promoted to C,P,,0,73,23,199,17721,1348,11.56%,39.44,,,0,469,885,83,363,1.59,9.38%,41.02%
Darty South,Summer 2020,D,3,,12,6,22,14,5,5,4,0,,2,2,5,5,1,1,,,C/D Playoffs,SF,,,PP,,0,54,27,242,22356,1753,11.16%,38.26,,,0,640,1119,96,521,1.72,8.58%,46.56%
Music City Madman,Summer 2020,D,4,,10,8,20,16,6,6,3,0,,1,1,2,3,,1,,,C/D Playoffs,R1,,,PP,,0,80,22,201,19907,1524,10.95%,39.19,,,0,602,1119,89,506,1.61,7.95%,45.22%
Blademau5,Summer 2020,D,5,,10,8,16,20,6,4,4,1,,3,3,8,8,2,1,,,C/D Playoffs,F,,,PP,,1,60,24,231,24506,1923,10.39%,38.23,,,0,680,1293,92,580,1.58,7.12%,44.86%
The Law,Summer 2020,D,6,,10,8,16,20,5,3,4,2,,1,1,2,3,,1,,,C/D Playoffs,R1,,,PP,,0,40,18,190,19614,1568,9.47%,37.53,,,0,520,1102,85,417,1.42,7.71%,37.84%
The Fireman,Summer 2020,D,7,,9,9,17,19,3,2,3,4,,,,,,,,,,,,,,,,0,48,17,190,17498,1425,8.95%,36.84,,,0,561,1073,92,451,1.57,8.57%,42.03%
Dr. Feelgood,Summer 2020,D,8,,3,15,17,19,1,2,5,2,,,,,,,,,,,,,,,,0,41,17,184,16724,1437,9.24%,34.91,,,0,391,971,49,328,1.21,5.05%,33.78%
Mr. Packman,Summer 2020,D,9,,5,13,13,23,3,2,6,1,,,,,,,,,,,,,,,,0,40,13,145,16740,1307,8.97%,38.42,,,0,386,894,74,311,1.30,8.28%,34.79%
Liberty Fires,Summer 2020,D,10,,5,13,9,27,3,0,8,1,,,,,,,,,,,,,,,,0,56,9,149,16498,1406,6.04%,35.20,,,0,472,1111,80,377,1.27,7.20%,33.93%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left Hand Hooligan,Fall 2020,A,1,,19,3,56,21,13,9,2,0,,,,,,,,,,Championship,,,,CP,,2,100,56,204,37162,1749,27.45%,63.74,,,1,720,707,168,515,3.06,23.76%,72.84%
King Rodge,Fall 2020,A,2,,15,7,55,22,16,8,3,0,,,,,,,,,,Championship,,,,CP,,4,151,55,198,37342,1723,27.78%,65.02,,,1,715,746,138,564,2.88,18.50%,75.60%
The Nooch,Fall 2020,A,3,,15,7,43,34,13,8,3,0,,,,,,,,,,Championship,,,,CP,,2,120,43,180,36303,1743,23.89%,62.48,,,0,631,651,145,462,2.91,22.27%,70.97%
The Surgeon,Fall 2020,A,4,,12,10,46,31,9,8,3,0,,,,,,,,,,Championship,,,,CP,,3,103,46,197,36472,1833,23.35%,59.69,,,0,692,731,143,495,2.84,19.56%,67.72%
Degrubs,Fall 2020,A,5,,14,8,42,35,12,7,4,0,,,,,,,,,,Championship,,,,CP,,1,101,42,190,36341,1890,22.11%,57.68,,,2,676,756,148,472,2.68,19.58%,62.43%
Dilly Dilly,Fall 2020,A,6,,16,6,36,41,15,7,4,0,,,,,,,,,,Championship,,,,CP,,5,157,36,170,35077,1801,21.18%,58.43,,,1,799,886,178,574,2.71,20.09%,64.79%
Shenandoah Slinger,Fall 2020,A,7,,11,11,41,36,7,6,5,0,,,,,,,,,,,,,,,,2,80,41,189,36229,1873,21.69%,58.03,,,0,665,832,129,526,2.40,15.50%,63.22%
The Train,Fall 2020,A,8,,9,13,32,45,6,3,8,0,,,,,,,,,,,,,,,,1,105,31,169,35142,1901,18.34%,55.46,,,0,757,921,141,574,2.47,15.31%,62.32%
Red Rascal,Fall 2020,A,9,,7,15,29,48,2,3,8,0,,,,,,,,,,A/B Playoffs,,,,RP,,0,109,29,172,34315,1940,16.86%,53.06,,,0,553,724,94,413,2.29,12.98%,57.04%
Lazer Cat,Fall 2020,A,10,,7,15,27,50,3,3,8,0,,,,,,,,,,A/B Playoffs,,,,RP,,0,67,27,199,34756,2043,13.57%,51.04,,,1,690,964,121,534,2.15,12.55%,55.39%
The Author,Fall 2020,A,11,,4,18,29,48,4,3,8,0,,,,,,,,,,,,R,Relegated to B,R,,1,122,27,152,32964,1888,17.76%,52.38,,,0,625,906,110,484,2.07,12.14%,53.42%
The Jig,Fall 2020,A,12,,3,19,26,51,2,1,10,0,,,,,,,,,,,,R,Relegated to B,R,,1,93,27,168,34000,1988,16.07%,51.31,,,0,664,944,113,533,2.11,11.97%,56.46%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadhead Darter,Fall 2020,B,1,,18,4,45,21,11,9,0,2,,,,,,,,,,,,P,Promoted to A,P,,1,84,45,195,31689,1801,23.08%,52.79,,,0,665,817,154,488,2.44,18.85%,59.73%
Bud The Chud,Fall 2020,B,2,,12,10,43,23,10,7,2,2,,,,,,,,,,A/B Playoffs,,,,PP,,0,84,43,227,32053,1822,18.94%,52.78,,,0,715,922,123,544,2.33,13.34%,59.00%
Cali Kid,Fall 2020,B,3,,12,10,40,26,4,6,3,2,,,,,,,,,,A/B Playoffs,,,,PP,,1,83,40,205,31701,1883,19.51%,50.51,,,0,654,931,117,515,2.11,12.57%,55.32%
Bar-Boy,Fall 2020,B,4,,14,8,33,33,8,5,5,1,,,,,,,,,,A/B Playoffs,,,,PP,,1,106,33,194,30791,1883,17.01%,49.06,,,0,644,851,96,522,2.27,11.28%,61.34%
